index	gen	fam	infam	sir	dam	sex	F1	F2	C1	R1	Trait1	Trait2	Trait3	Trait4
1561	4	1561	1	1405	1401	2	L1	S2	0.7	R1	case	-1.07535080038248	-0.760230886595694	0.581399503089656
1562	4	1562	1	1403	1402	2	L2	S1	0.7	R2	control	1.17818197491855	0.0349520829016082	1.55688729561526
1563	4	1563	1	1420	1404	2	L1	S2	0.75	R2	control	0.728621334683134	-0.0445141065519562	1.09386832872266
1564	4	1564	1	1420	1406	2	L1	S1	0.7	R1	control	0.47391857019398	0.194714776557307	1.49232393703595
1565	4	1565	1	1405	1407	2	L1	S1	0.7	R2	control	-4.121629533419	-1.33714553052889	1.35745781476264
1566	4	1566	1	1420	1408	1	L2	S2	0.9	R2	control	0.874636696629048	-0.0337223299564978	-0.530446600946562
1567	4	1567	1	1415	1410	1	L1	S1	0.75	R3	control	1.5971215939676	0.907445813529964	1.26667920006118
1568	4	1568	1	1403	1411	1	L2	S3	0.9	R1	control	3.51799962961945	-0.0376893657918751	0.700522422395712
1569	4	1569	1	1405	1412	2	L2	S1	0.75	R1	control	3.231116343232	0.12870131467935	0.34009124310666
1570	4	1570	1	1403	1414	1	L2	S2	0.75	R1	control	0.294249316311195	-1.77546656945169	3.55015410336607
1571	4	1571	1	1403	1417	2	L2	S3	0.75	R3	control	4.62149288540231	2.21966499257818	1.99554321461469
1572	4	1572	1	1405	1418	2	L2	S3	0.7	R3	control	2.89571359112117	1.09604229366878	0.324091192585799
1573	4	1573	1	1403	1424	2	L1	S1	0.75	R2	control	3.14871049766588	0.608596366997143	1.79720649898635
1574	4	1574	1	1416	1425	2	L1	S3	0.7	R2	control	-1.12042152003421	0.555163814772138	2.40658413122532
1575	4	1575	1	1416	1431	2	L2	S3	0.7	R3	control	0.871603077024157	3.91634470861872	-2.47732881429209
1576	4	1576	1	1403	1432	1	L1	S1	0.9	R3	control	0.903902812184166	2.38407959699018	0.581299364202314
1577	4	1577	1	1403	1435	2	L2	S2	0.75	R1	control	1.79506532521241	-1.59701527280042	-0.402879573602408
1578	4	1578	1	1409	1438	1	L1	S1	0.9	R1	control	-0.428167540527916	0.0790440387832387	0.989147924912546
1579	4	1579	1	1415	1440	1	L2	S3	0.75	R3	control	0.321703008298206	1.58651177336597	0.425461191855729
1580	4	1580	1	1416	1444	2	L1	S2	0.9	R1	control	2.82949848729928	0.762626433557256	-0.863205437690539
1581	4	1581	1	1405	1445	2	L2	S1	0.9	R3	control	-0.887676663891425	0.536964371357988	-0.24961510080261
1582	4	1582	1	1420	1447	2	L2	S1	0.75	R2	control	-3.58994923524695	-1.10000828624638	0.1557058058442
1583	4	1583	1	1409	1449	1	L2	S2	0.7	R3	control	2.2578137938779	1.84191541160146	2.5417582407936
1584	4	1584	1	1405	1450	1	L2	S2	0.75	R3	control	0.0270978204555753	1.84378787826084	-1.35612091682857
1585	4	1585	1	1416	1451	2	L2	S1	0.7	R2	case	-1.77260541142431	0.275591232979378	3.49490916547201
1586	4	1586	1	1405	1457	2	L1	S2	0.9	R1	control	0.946905988183644	-1.57974083902054	0.840192380270873
1587	4	1587	1	1416	1460	1	L1	S1	0.9	R1	control	-0.765215807554529	0.81093189518798	0.376304676313734
1588	4	1588	1	1416	1461	1	L2	S2	0.7	R1	control	-0.467045328599662	0.551752844455362	2.11560652867501
1589	4	1589	1	1409	1462	1	L2	S1	0.7	R3	control	0.777414400314172	1.1675412643854	-0.531297841059233
1590	4	1590	1	1413	1464	2	L2	S1	0.7	R2	control	0.16199857441772	0.305752964048669	-0.38619120457246
1591	4	1591	1	1416	1465	1	L1	S3	0.7	R2	case	-0.143810733956921	0.895888216148355	3.11106734793439
1592	4	1592	1	1416	1468	1	L2	S1	0.9	R1	control	0.97561168748255	0.44223160473216	0.38915084482173
1593	4	1593	1	1416	1469	2	L2	S1	0.9	R1	control	0.723066819097219	0.770681252375503	-0.696519274743889
1594	4	1594	1	1405	1470	1	L1	S2	0.75	R1	control	1.2477994094163	-2.27023567508521	-0.12049317992367
1595	4	1595	1	1419	1471	2	L1	S2	0.75	R2	control	0.657521353526437	-0.252771546351957	-0.741058771306246
1596	4	1596	1	1413	1472	2	L2	S2	0.7	R1	control	3.47456931538167	1.36831308695409	-0.480160236977067
1597	4	1597	1	1405	1473	2	L1	S2	0.75	R1	control	-2.68240536420905	0.950879725039038	1.3000422159139
1598	4	1598	1	1416	1474	2	L1	S1	0.9	R1	control	-0.806240688847192	-0.855392842196749	4.0590150573331
