Trait1	Trait2	Trait3	Trait4
20	9	4	8
22	10	12	12
24	14	20	20
27	26	31	35
42	31	34	36
52	70	46	43
53	80	56	45
65	119	80	54
90	121	88	61
97	137	91	68
107	146	94	70
118	151	107	72
128	158	109	74
134	162	113	83
136	172	114	92
138	208	117	97
139	213	121	98
144	215	122	114
162	217	135	123
175	225	136	127
177	230	141	171
184	248	150	187
200	256	155	198
206	270	169	211
208	292	173	212
214	294	174	214
215	296	176	217
217	301	199	227
220	322	219	257
225	324	221	261
249	340	227	271
265	358	228	277
279	371	251	287
283	377	252	290
301	389	264	291
320	393	266	303
330	395	272	310
336	401	289	323
340	408	297	331
348	411	310	342
360	421	311	370
375	425	317	392
376	443	325	395
385	459	330	408
390	472	331	420
392	480	333	438
398	484	340	451
411	487	365	460
415	490	366	469
418	499	368	473
468	534	370	475
472	537	379	477
475	556	380	483
479	563	385	484
481	572	387	501
482	598	394	512
489	603	400	524
490	607	401	537
496	609	422	550
516	625	425	552
531	628	431	582
535	640	435	583
539	644	461	589
544	646	496	600
546	649	498	606
558	671	507	609
570	677	514	620
583	705	530	624
592	721	543	631
595	740	544	633
603	744	547	645
606	750	551	676
621	758	557	681
624	781	566	696
647	785	595	709
649	803	600	711
650	825	606	747
654	833	616	750
655	839	617	753
666	851	632	782
669	861	640	799
681	871	646	831
682	884	651	847
685	886	655	854
688	934	657	875
690	941	663	880
697	970	664	886
706	1018	672	902
712	1052	679	912
714	1061	696	921
732	1104	700	925
733	1109	704	939
745	1110	711	944
755	1114	716	946
758	1124	721	968
771	1133	742	970
783	1135	747	982
787	1136	767	983
793	1147	773	993
797	1155	789	1009
813	1160	809	1016
816	1174	819	1029
818	1194	821	1051
820	1234	822	1055
822	1247	824	1057
833	1249	831	1074
842	1252	839	1085
850	1261	842	1088
854	1270	845	1121
863	1272	849	1135
893	1280	850	1140
895	1284	881	1141
899	1290	883	1160
930	1303	885	1187
937	1312	893	1219
943	1330	898	1230
950	1339	910	1247
957	1346	922	1264
983	1359	935	1265
984	1368	938	1267
990	1374	966	1268
992	1378	967	1296
1007	1386	968	1310
1008	1390	988	1339
1023	1420	995	1351
1024	1425	1005	1352
1026	1438	1007	1364
1044	1444	1014	1365
1056	1469	1020	1380
1063	1475	1034	1401
1071	1476	1040	1406
1090	1500	1054	1440
1096	1505	1055	1455
1097	1507	1057	1492
1099	1525	1058	1511
1108	1543	1060	1543
1111	1544	1065	1560
1117	1559	1067	1562
1124	1587	1070	1584
1128	1595	1076	1592
1136	1606	1089	1610
1149	1608	1097	1614
1168	1618	1099	1625
1173	1643	1138	1629
1175	1649	1177	1630
1189	1652	1183	1642
1207	1658	1193	1645
1210	1662	1194	1651
1227	1675	1196	1655
1232	1686	1207	1673
1249	1690	1210	1713
1252	1716	1218	1715
1258	1721	1219	1719
1263	1725	1220	1759
1269	1735	1221	1789
1280	1739	1235	1800
1283	1742	1243	1837
1297	1745	1261	1848
1298	1750	1262	1861
1310	1751	1265	1866
1314	1777	1288	1868
1348	1786	1297	1871
1353	1796	1316	1884
1357	1805	1327	1920
1397	1814	1349	1971
1405	1817	1355	1978
1406	1820	1364	1980
1411	1830	1376	1990
1456	1834	1389	1995
1465	1843	1412	2003
1470	1846	1422	2023
1483	1854	1425	2032
1485	1862	1432	2045
1492	1863	1434	2049
1506	1875	1446	2067
1529	1879	1447	2072
1535	1890	1451	2078
1536	1897	1454	2111
1538	1903	1459	2133
